SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,address
ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24296.6250855923,47144.7700594738,1.4426347903311,103.800040119743,11   WOODLANDS CIRCLE
THE LEARNING HARBOUR @ ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,THE LEARNING HARBOUR @ ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE THE LEARNING HARBOUR @ ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24315.9398124339,47135.3542042952,1.44254963931583,103.800213682734,11   WOODLANDS CIRCLE
ADMIRALTY SECONDARY SCHOOL,31,WOODLANDS CRESCENT,ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT ADMIRALTY SECONDARY SCHOOL SINGAPORE 737916,737916,24559.0472937012,47504.7873554379,1.44589068910993,103.802398196596,31   WOODLANDS CRESCENT
AHMAD IBRAHIM PRIMARY SCHOOL,10,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,768643,27958.1371433474,46096.2627680488,1.43315271543517,103.832942401086,10   YISHUN STREET 11
LIFE STUDENT CARE CENTRE @ AHMAD IBRAHIM,10,YISHUN STREET 11,LIFE STUDENT CARE CENTRE @ AHMAD IBRAHIM,10 YISHUN STREET 11 LIFE STUDENT CARE CENTRE @ AHMAD IBRAHIM SINGAPORE 768643,768643,27936.7779958136,46125.1636074763,1.43341408412245,103.832750468895,10   YISHUN STREET 11
AHMAD IBRAHIM SECONDARY SCHOOL,751,YISHUN AVENUE 7,AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7 AHMAD IBRAHIM SECONDARY SCHOOL SINGAPORE 768928,768928,27599.3872889336,46417.7087551262,1.43605975368804,103.829718690077,751  YISHUN AVENUE 7
AI TONG SCHOOL,100,BRIGHT HILL DRIVE,AI TONG SCHOOL,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,579646,27966.8088298785,38071.9191181567,1.3605834338904,103.833020333986,100  Bright Hill Drive
PRO-TEACH SCHOOLCARE (AI TONG),100,BRIGHT HILL DRIVE,PRO-TEACH SCHOOLCARE (AI TONG),100 BRIGHT HILL DRIVE PRO-TEACH SCHOOLCARE (AI TONG) SINGAPORE 579646,579646,27966.8091930943,38071.9186944049,1.36058343005814,103.83302033725,100  Bright Hill Drive
ALEXANDRA PRIMARY SCHOOL,2A,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,27010.1854815315,30414.7169698272,1.29133439161334,103.824424680531,2A   Prince Charles Crescent
MOE KINDERGARTEN @ ALEXANDRA,2A,PRINCE CHARLES CRESCENT,MOE KINDERGARTEN @ ALEXANDRA,2A PRINCE CHARLES CRESCENT MOE KINDERGARTEN @ ALEXANDRA SINGAPORE 159016,159016,26964.858994307,30396.5014853496,1.29116965570463,103.824017403629,2A   Prince Charles Crescent
